ids,mols,y
50897788.0,CNCC1=NC2=C(C=C(Cl)C=C2)C(C2=CC=CN2)=N1,-106.311
65628.0,CN1C2=CC=C(N(CCCl)CCCl)C=C2N=C1CCCC(=O)O,-70.9545
92140.0,CCCC(=O)OC[C@@H](OC(=O)CCC)[C@@H](OC(=O)CCC)[C@H](CN1C2=CC(C)=C(C)C=C2N=C2C(=O)NC(=O)N=C21)OC(=O)CCC,-61.0446
148121.0,C#CCC(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C(=O)N[C@@H](CCC(=O)O)C(=O)O)C=C1,-95.5529
56840936.0,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O,-80.1864
214348.0,O=C(O)C1=CC=C(N2N=C(C3=CC=CC=C3O)N=C2C2=CC=CC=C2O)C=C1,-96.6561
62581.0,CCCCCCCC[N+](C)(C)CCCCCCCC,-83.5454
60196338.0,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1O,-101.139
20055528.0,CC1=C(N)N=C(C(CC(N)=O)NCC(N)C(N)=O)N=C1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCC1=NC(C2=NC(C(=O)NCCCN[C@@H](C)C3=CC=CC=C3)=CS2)=CS1)C(C)O)C(O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)C1=CN=CN1,-89.4186
40703.0,COC1=C(OC)C=C(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)C(Br)=C1,-106.154
,COC1=C(OC)C=C(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)C(Br)=C1,-73.6913
60751.0,OC1=CC=CC(C2=C3C=CC(=C(C4=CC=CC(O)=C4)C4=NC(=C(C5=CC=CC(O)=C5)C5=CC=C(N5)C(C5=CC=CC(O)=C5)=C5C=CC2=N5)CC4)N3)=C1,-95.9723
4619591.0,CCN(CC1=CC=CC(S(=O)(=O)O)=C1)C1=CC=C(C(C2=CC=CC=C2S(=O)(=O)[O-])=C2C=CC(=[N+](CC)CC3=CC=CC(S(=O)(=O)O)=C3)C=C2)C=C1,-65.499
123596.0,CC1=CC=C(NC(=O)C2=CC=C(CN3CCN(C)CC3)C=C2)C=C1NC1=NC=CC(C2=CN=CC=C2)=N1,-97.4402
5281078.0,COC1=C(C/C=C(\C)CCC(=O)OCCN2CCOCC2)C(O)=C2C(=O)OCC2=C1C,-101.169
5462355.0,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CC=CN=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@H]1C2=C(C=CC=C2)C[C@H]1O,-101.972
26450846.0,CC1=CC=C(S(=O)(=O)N2CCN(C3=NC(C4=CC=CS4)=NC4=CC=CC=C43)CC2)C=C1,-63.2599
4787756.0,N#CC1=CC=CC=C1S(=O)(=O)N1CCN(C2=NC(C3=CC=CS3)=NC3=CC=CC=C32)CC1,-76.9107
26440749.0,O=S(=O)(C1=CC=CC=C1Cl)N1CCN(C2=C3C=CC=CC3=NC(C3=CC=CS3)=N2)CC1,-105.18
44246360.0,CCCN1CNC2=C(C1)C(=O)NC(=S)N2CCC1=CC=C(Cl)C=C1Cl,-60.6174
44246363.0,CCCN1CNC2=C(C1)C(=O)NC(=S)N2CCC1=CC=CC=C1Cl,-93.5087
44246370.0,ClC1=C2C=NC=NC2=C(C#CC2=CC=CC=C2)C=N1,-100.445
44246373.0,CCCN1CNC2=C(C1)C(=O)NC(=S)N2CCC1=CC=C(OC)C=C1OC,-76.1387
44246374.0,CCCN1CNC2=C(C1)C(=O)NC(=S)N2CCC1=C(Cl)C=CC=C1Cl,-100.299
44246381.0,CCCN1CNC2=C(C1)C(=O)NC(=S)N2CCCC1=CC=CC=C1,-95.123
44246385.0,CCCN1CNC2=C(C1)C(=O)NC(=S)N2CCC(C)(C)C,-107.485
44246391.0,CCCN1CNC2=C(C1)C(=O)NC(=S)N2CCC1=C(C)C(C)=CC=C1,-88.2117
44246394.0,CCCN1CNC2=C(C1)C(=O)NC(=S)N2CCC1=CC=CC(Cl)=C1Cl,-119.188
44246397.0,COC1=CC=C(CCN2C(=S)NC(=O)C3=NC=CN=C32)C=C1OC,-75.9547
44246398.0,CCCN1CNC2=C(C1)C(=O)NC(=S)N2CCC1=CC(C)=CC=C1C,-74.1319
44246400.0,COC1=CC=C(C#CC2=CN=C(Cl)C3=CN=CN=C23)C=C1OC,-93.735
44246405.0,CCCN1CNC2=C(C1)C(=O)NC(=S)N2CCC1=CC(Cl)=CC(Cl)=C1,-86.5256
44246411.0,COC1=CC(S(=O)(=O)N2CCN(C3=NC(C4=CC=CS4)=NC4=CC=CC=C43)CC2)=CC=C1,-87.7813
44246412.0,O=S(=O)(C1=C2C=CC=CC2=CC=C1)N1CCN(C2=NC(C3=CC=CS3)=NC3=CC=CC=C32)CC1,-62.3159
44246413.0,O=C(C1=CC=C2OCCOC2=C1)N1CCN(C2=NC(C3=CC=CS3)=NC3=CC=CC=C32)CC1,-117.048
44246414.0,O=S(=O)(C1=CC=CS1)N1CCN(C2=C3C=CC=CC3=NC(C3=CC=CS3)=N2)CC1,-115.128
44246415.0,O=S(=O)(CC1=CC=CC=C1)N1CCN(C2=C3C=CC=CC3=NC(C3=CC=CS3)=N2)CC1,-97.0307
44246421.0,CC(C)(C)OC(=O)N1CCN(C2=C3C=CC=CC3=NC(C3=CC=CS3)=N2)CC1,-107.875
44246423.0,CN(CCN(C)C1=C2C=CC=CC2=NC(C2=CC=CS2)=N1)C(=O)OC(C)(C)C,-100.126
44246426.0,COC(=O)C1=NC2=CC=CC=C2C(N2CCN(S(=O)(=O)C3=CC=C(C)C=C3)CC2)=N1,-95.2448
44246427.0,COC1=C(S(=O)(=O)N2CCN(C3=NC(C4=CC=CS4)=NC4=CC=CC=C43)CC2)C=CC=C1,-113.789
44246429.0,CC1=CC=C(S(=O)(=O)N(C)CCN(C)C2=NC(C3=CC=CS3)=NC3=CC=CC=C32)C=C1,-96.4781
44246433.0,O=S(=O)(C1=NC=CS1)N1CCN(C2=NC(C3=CC=CS3)=NC3=CC=CC=C32)CC1,-102.212
44246437.0,CC1=CC=C(S(=O)(=O)N2CCN(C3=C4C=CC=CC4=NC(C4=CN=CN=C4)=N3)CC2)C=C1,-101.274
44246439.0,CNCCN(C)C1=NC(C2=CC=CS2)=NC2=CC=CC=C21,-72.7694
44246440.0,CC1=CC=C(S(=O)(=O)N(C)CCCN(C)C2=NC(C3=CC=CS3)=NC3=CC=CC=C32)C=C1,-82.7863
44246441.0,CS(=O)(=O)N1CCN(C2=NC(C3=CC=CS3)=NC3=CC=CC=C32)CC1,-91.7926
44246444.0,CC(C)S(=O)(=O)N1CCN(C2=NC(C3=CC=CS3)=NC3=CC=CC=C32)CC1,-89.9164
44246445.0,CC1=CC=C(S(=O)(=O)N2CCN(C3=C4C=CC=CC4=NC(C4=CC=NC=C4)=N3)CC2)C=C1,-102.72
44246447.0,CC1=CC=C(S(=O)(=O)N2CCN(C3=NC(C4=NC=CO4)=NC4=CC=CC=C43)CC2)C=C1,-83.9435
44246448.0,CC1=CC=C(S(=O)(=O)N2CCN(C3=C4C=CC=CC4=NC(C4=NC=CN=C4)=N3)CC2)C=C1,-95.1503
44246449.0,CC1=CC=C(S(=O)(=O)N2CCN(C3=C4C=CC=CC4=NC(C4=CN=NC=C4)=N3)CC2)C=C1,-106.726
44246451.0,CC1=CC=C(S(=O)(=O)N2CCN(C3=NC(C4=CN=CS4)=NC4=CC=CC=C43)CC2)C=C1,-79.8468
25708371.0,CC1=CC=C(S(=O)(=O)N2CCN(C3=C4C=CC=CC4=NC(C4=CN=CC=C4)=N3)CC2)C=C1,-86.8749
44246453.0,CC1=CC=C(S(=O)(=O)N2CCN(C3=C4C=CC=CC4=NC(C4=NC=CC=N4)=N3)CC2)C=C1,-63.8792
44246454.0,CC(=O)C1=C(S(=O)(=O)N2CCN(C3=NC(C4=CC=CS4)=NC4=CC=CC=C43)CC2)C=CC=C1,-87.3327
44246455.0,CCOC(=O)C1=CC=CC=C1S(=O)(=O)N1CCN(C2=NC(C3=CC=CS3)=NC3=CC=CC=C32)CC1,-97.4971
9460093.0,CC1=CC=C(S(=O)(=O)N2CCN(C3=C4C=CC=CC4=NC=N3)CC2)C=C1,-112.969
45136823.0,CC1=CC=C(S(=O)(=O)N2CCN(C3=NC(C4=CC=C(CN5CCNCC5)S4)=NC4=CC=CC=C43)CC2)C=C1,-83.4266
26451399.0,O=S(=O)(C1=CC=CC=C1F)N1CCN(C2=C3C=CC=CC3=NC(C3=CC=CS3)=N2)CC1,-75.7917
53315411.0,COC1=CC=C(CCN2C(=S)NC(=O)C3=C2N=CC=C3)C=C1OC,-87.9957
53315457.0,COC1=C(N(C)C2=NC(N3CCN(S(=O)(=O)C4=CC=C(C)C=C4)CC3)=C3C=CC=CC3=N2)C=C(Cl)C=C1,-81.0775
53315461.0,CC1=CC=C(S(=O)(=O)N2CCN(C3=NC(N4C(=O)NC5=CC=CC=C54)=NC4=CC=CC=C43)CC2)C=C1,-99.1572
53315587.0,CC1=CC=C(S(=O)(=O)N2CCN(C3=NC(N4C=CN=N4)=NC4=CC=CC=C43)CC2)C=C1,-96.2153
53299579.0,COC1=CC=C(CCNC(=O)C2=C(N)N=C3C=CC(Cl)=CC3=C2)C=C1OC,-77.2104
53299581.0,NC1=NC2=CC=CC=C2C=C1C(=O)NCC1=CC=C(Cl)C=C1Cl,-87.6392
53299582.0,NC1=NC2=CC=C(Cl)C=C2C=C1C(=O)NCC1=CC=C(OC2=CC=CC=C2)C=C1,-75.7027
53299585.0,NC1=C(C(=O)NCCC2=CC=CS2)C=C2C=CC=NC2=N1,-82.9707
53299588.0,COC1=CC2=CC(C(=O)NCCC3=CNC4=C3C=CC=C4)=C(N)N=C2C=C1OC,-94.95
53299589.0,COC1=CC2=CC(C(=O)NC(C)C3=C4C=CC=CC4=CC=C3)=C(N)N=C2C=C1OC,-93.5014
53299590.0,NC1=C(C(=O)NCCCCC2=CC=CC=C2)C=C2C=CC=CC2=N1,-108.162
53299591.0,NC1=NC2=CC3=C(C=C2C=C1C(=O)NCC1=CC=C(F)C=C1)OCO3,-94.1137
53299592.0,NC1=C(C(=O)NCCCC2=CC=CC=C2)C=C2C=CC(Cl)=CC2=N1,-82.4842
53299593.0,COC1=CC=C(CCNC(=O)C2=C(N)N=C3C=C(Cl)C=CC3=C2)C=C1,-78.3704
